,s,MaxDev,Procrustes
0,1.0,0.09103822199325286,1.2568552349756563
0,2.0,0.06292706133815464,1.0579753622632189
0,3.0,0.049525822999418156,0.8669151080662811
0,4.0,0.035053323001098945,0.4257016982396026
0,5.0,0.03180933199433435,0.4140525374345703
0,6.0,0.02899158233144241,0.3321453169537043
0,7.0,0.024695708180880002,0.30156588151552743
0,8.0,0.02230156339518094,0.24841678778666462
0,9.0,0.022099687265392395,0.2034185939843055
0,10.0,0.0170431139988048,0.13111718194215596
0,11.0,0.01660043285863964,0.10778726362208538
0,12.0,0.0157868391143311,0.09900981943881583
0,13.0,0.01578652716209212,0.10762530621986591
0,14.0,0.015325734634784583,0.09368735390388519
0,15.0,0.013433115896676121,0.0789306652904661
0,16.0,0.013059721373203003,0.07814563512642884
0,17.0,0.011215575171298814,0.05931663442727075
0,18.0,0.011152827343172288,0.04930436032586838
0,19.0,0.010573626147928774,0.04837699586092277
0,20.0,0.010194945953856211,0.043733772031395314
0,21.0,0.010379132910956353,0.040088262019169804
0,22.0,0.010400981184954137,0.04059972284041999
0,23.0,0.009917075228736479,0.04219349632393662
0,24.0,0.010127514418461606,0.04277885685500995
0,25.0,0.010674150327006863,0.04227742553825815
0,1.0,0.08497570787581005,0.4459651285566199
0,2.0,0.042920669609794466,0.40841659033680755
0,3.0,0.028229104695279672,0.23094814952710316
0,4.0,0.024801891005791745,0.14437378227085337
0,5.0,0.01973175819547289,0.13856118730810973
0,6.0,0.020116343935792015,0.11422147625932831
0,7.0,0.016712042849394544,0.10182187610500107
0,8.0,0.015452379415469923,0.08472966016281232
0,9.0,0.01703160421437706,0.10240961213338112
0,10.0,0.01785389607841647,0.0958154549338635
0,11.0,0.015124453291589766,0.06584915926396304
0,12.0,0.012409878539078427,0.04706177622406976
0,13.0,0.011589513012661782,0.04392612708787081
0,14.0,0.011139783292784823,0.047050818295163714
0,15.0,0.011461619944909993,0.045840602951132015
0,16.0,0.010391009248617801,0.044518094432106595
0,17.0,0.01037205876795213,0.04219574364683512
0,18.0,0.009594512916693486,0.04016585094659196
0,19.0,0.009691750611760282,0.043013643739041915
0,20.0,0.010455665478592837,0.05047917991349664
0,21.0,0.01027239376023228,0.04561691095192015
0,22.0,0.01007297877851245,0.04118083011115076
0,23.0,0.010370641447931683,0.0372334225310749
0,24.0,0.010873794450660926,0.0392765006695891
0,25.0,0.010674150327052326,0.04227742553831573
0,1.0,0.11706926327816736,0.6956361459286271
0,2.0,0.05769446535867888,0.32294671628599636
0,3.0,0.03823512282500247,0.18527495926805504
0,4.0,0.026426620026230516,0.1843427045820688
0,5.0,0.020734023770541885,0.16243779669201952
0,6.0,0.0209545442300797,0.14037888011549526
0,7.0,0.021846689574201508,0.15475670715876208
0,8.0,0.01862405732945191,0.10310925256939743
0,9.0,0.01791912997333883,0.11889573363925335
0,10.0,0.01904211435552012,0.10694873126886126
0,11.0,0.018208130254242106,0.11183957832691648
0,12.0,0.014387191101931934,0.07932177414473815
0,13.0,0.014811943389151663,0.0732191843516641
0,14.0,0.013561862524898603,0.06673908466873414
0,15.0,0.012436724550978473,0.06125557512603804
0,16.0,0.01341407207983366,0.06364229362372924
0,17.0,0.011413606701322623,0.049658285538173204
0,18.0,0.013511595351892872,0.058801971946200966
0,19.0,0.012209674206094832,0.04930425567501767
0,20.0,0.01198842855581041,0.04722592546459848
0,21.0,0.011770821718665083,0.038959809565486
0,22.0,0.011770416616717452,0.040762051741825685
0,23.0,0.011337242336613323,0.04079058446336894
0,24.0,0.011994593579300715,0.051398846085408935
0,25.0,0.01067415032704085,0.04227742553838854
0,1.0,0.08497570787588019,0.44596512855643633
0,2.0,0.03768822879875342,0.2956040554508136
0,3.0,0.029681713717953917,0.2765038406770836
0,4.0,0.026082645208915508,0.41419908716982595
0,5.0,0.018907132068414424,0.2586098700675994
0,6.0,0.02008637856047,0.2319602948198461
0,7.0,0.018607999922766204,0.16717454901061898
0,8.0,0.01764607360158913,0.11065999011671625
0,9.0,0.015540557028487135,0.09846006646950509
0,10.0,0.012644935695367704,0.07717537870156833
0,11.0,0.010463995797137639,0.058235002854184634
0,12.0,0.010135662626001124,0.04943364871436355
0,13.0,0.010740074403122487,0.05511699515073745
0,14.0,0.010520032326947879,0.04718716258296006
0,15.0,0.010478860706766933,0.0497530334186674
0,16.0,0.00957947909807038,0.04597682422636603
0,17.0,0.010266166547132095,0.0426840796108172
0,18.0,0.010865518250426401,0.051437293888141736
0,19.0,0.01240615400987075,0.06052657785116132
0,20.0,0.010932310307072434,0.047225537677015594
0,21.0,0.01061927294141862,0.04382599576400783
0,22.0,0.009896642733316488,0.04132804803905379
0,23.0,0.010390345350408052,0.052250655652354996
0,24.0,0.011471531206863738,0.05026448325377278
0,25.0,0.0106741503269815,0.0422774255384746
0,1.0,0.048130333257832864,0.6145766536480473
0,2.0,0.03760860874518937,0.32404501904125343
0,3.0,0.027665176509144223,0.17158561217487225
0,4.0,0.02465002525021246,0.19231851440825537
0,5.0,0.022912732860756027,0.15501404498877983
0,6.0,0.022828351759009814,0.15356558303524942
0,7.0,0.02097796703760918,0.14614993737596785
0,8.0,0.017936590500889846,0.12186843565302247
0,9.0,0.01865506827541708,0.11662637307276602
0,10.0,0.016353609953276903,0.0927090910449598
0,11.0,0.012423260210573253,0.07289006495053728
0,12.0,0.013842771931075044,0.06510360114560027
0,13.0,0.013426055060853866,0.05111463934722242
0,14.0,0.012807983299946507,0.0672852001177387
0,15.0,0.012626857809333251,0.060938992063040605
0,16.0,0.012824327207125029,0.06100811566896114
0,17.0,0.010996575372336212,0.04588411237181778
0,18.0,0.010525030284156568,0.047775681597365
0,19.0,0.010617184000458716,0.04873420910332451
0,20.0,0.009100158200995485,0.03706481722554877
0,21.0,0.009167997994368323,0.03414357405734422
0,22.0,0.009518956740400835,0.03569321749520544
0,23.0,0.011164980151547033,0.042045660318247885
0,24.0,0.01097856898557982,0.03842859252091885
0,25.0,0.010674150327027515,0.04227742553864438
0,1.0,0.07189203257788614,1.432031627557245
0,2.0,0.037804290575604214,0.5215079608737043
0,3.0,0.024291597346900305,0.26381433830418693
0,4.0,0.02360832060032365,0.2397554399461883
0,5.0,0.024540871478808807,0.2241752924544239
0,6.0,0.021648080484233383,0.16944262648159739
0,7.0,0.01822116728689529,0.12488575557319827
0,8.0,0.018002413673655463,0.11941772292425447
0,9.0,0.021538484117339447,0.14503770482329317
0,10.0,0.022208046158985476,0.1544982416067443
0,11.0,0.01831267245285955,0.10145049582460713
0,12.0,0.017832022987034363,0.07690734449285287
0,13.0,0.016397009079187324,0.07306655552742411
0,14.0,0.014355397620657101,0.0539034824780532
0,15.0,0.012898676372094393,0.04462768330967411
0,16.0,0.012205255968424249,0.046347624765483826
0,17.0,0.012454799029226266,0.04550928561832356
0,18.0,0.012265141415189302,0.04220151737763711
0,19.0,0.012207950072439144,0.042326825980435155
0,20.0,0.01206444325870597,0.046903275742534715
0,21.0,0.012179700681547122,0.04381265677898035
0,22.0,0.010293818516752935,0.03547154414646882
0,23.0,0.0112187507868668,0.04595832838693521
0,24.0,0.011554134785414073,0.047638818701647635
0,25.0,0.01067415032702415,0.04227742553859164
0,1.0,0.055246683714620146,1.3864671900999497
0,2.0,0.03338967515721437,0.46567073140373066
0,3.0,0.02391949423523311,0.29301085457163456
0,4.0,0.02008828788808589,0.21322134927625244
0,5.0,0.01915588610809106,0.17078569837766777
0,6.0,0.019977992170916538,0.1583878136060167
0,7.0,0.016558660892502644,0.09615551771921625
0,8.0,0.015614569434381942,0.08988433223633216
0,9.0,0.013294034211872903,0.06869714405272882
0,10.0,0.015840908781950176,0.07010482195860339
0,11.0,0.016654007905735197,0.07245051774425039
0,12.0,0.016382642801173814,0.08512827535350612
0,13.0,0.016014650195507386,0.0698899101585385
0,14.0,0.016101374562056483,0.06860229710270047
0,15.0,0.01558867373284004,0.07075322948440957
0,16.0,0.014100027623508959,0.05018759937976531
0,17.0,0.014158469933682498,0.05399585463107148
0,18.0,0.012791168795582876,0.04710888405792889
0,19.0,0.013002049869537083,0.04807726182685212
0,20.0,0.012849691335045531,0.04660731911154857
0,21.0,0.012518109380991651,0.04968671938301877
0,22.0,0.012908648742447982,0.053517684060868265
0,23.0,0.011602060772505378,0.04643941368367541
0,24.0,0.010587041536932344,0.04520762668349758
0,25.0,0.010674150327027516,0.042277425538572645
0,1.0,0.046513310857420644,0.6215448004712532
0,2.0,0.026925117300516384,0.3115718956620452
0,3.0,0.027738465806803482,0.17071202359175436
0,4.0,0.021309945503825242,0.19498845419642477
0,5.0,0.025514813311787243,0.14771186475046116
0,6.0,0.02321930937324991,0.12614046754783945
0,7.0,0.019442799354766054,0.11292522374266113
0,8.0,0.01743856182189283,0.08886662156223174
0,9.0,0.01606885651139013,0.09073848893782757
0,10.0,0.018038606935077025,0.09310792831581327
0,11.0,0.016951651495567828,0.08704143482697563
0,12.0,0.01495929885498425,0.0536889392803595
0,13.0,0.013160596775392448,0.042141495227206026
0,14.0,0.012100967426936738,0.03967469926546761
0,15.0,0.011583640199424669,0.0380637755610157
0,16.0,0.0113392552698568,0.031248365065750544
0,17.0,0.010808786158859064,0.035115351467675804
0,18.0,0.011077781732511754,0.0469721362122843
0,19.0,0.011662633644814298,0.044560609318664936
0,20.0,0.012018691267660028,0.04453046190541354
0,21.0,0.011825821731084282,0.05215364937519222
0,22.0,0.010917229198035271,0.047333041959162936
0,23.0,0.010159263449941055,0.03852411898618753
0,24.0,0.010127514418462616,0.04277885685530214
0,25.0,0.01067415032701131,0.042277425538561904
0,1.0,0.03994893906569914,0.6381470273929281
0,2.0,0.02787126518713761,0.2860019067421899
0,3.0,0.02435127123581881,0.21455077289344082
0,4.0,0.025374227115142343,0.17930522182260053
