,rep,s,p,m,MaxDev,epsilon
0,0.0,10.0,2.0,65.0,0.17012432722486373,0.05
0,9.0,10.0,3.0,61.0,0.1469895668971675,0.05
0,9.0,10.0,4.0,49.0,0.12589317946498074,0.05
0,9.0,10.0,5.0,48.0,0.12802192282671596,0.05
0,9.0,10.0,6.0,51.0,0.11948612938766474,0.05
0,9.0,10.0,7.0,49.0,0.10080938148773357,0.05
0,9.0,10.0,8.0,46.0,0.09137911008117242,0.05
0,9.0,10.0,9.0,43.0,0.08030105018399238,0.05
0,9.0,10.0,10.0,39.0,0.07900670678734904,0.05
0,9.0,10.0,11.0,36.0,0.0775316408806697,0.05
0,9.0,10.0,12.0,36.0,0.07255862015608752,0.05
0,9.0,10.0,13.0,34.0,0.07380000381883664,0.05
0,9.0,10.0,14.0,33.0,0.07327668913005284,0.05
0,9.0,10.0,15.0,35.0,0.06982661624099024,0.05
0,9.0,10.0,16.0,35.0,0.07022701481166342,0.05
0,9.0,10.0,17.0,35.0,0.0643348518664562,0.05
0,9.0,10.0,18.0,33.0,0.0627335105901486,0.05
0,9.0,10.0,19.0,33.0,0.062019060978306915,0.05
0,9.0,10.0,20.0,32.0,0.059352258709376424,0.05
0,9.0,10.0,21.0,31.0,0.056604709780757094,0.05
0,9.0,10.0,22.0,31.0,0.05510855113799032,0.05
0,9.0,10.0,23.0,30.0,0.05272668438373904,0.05
0,9.0,10.0,24.0,32.0,0.05483204352257184,0.05
0,9.0,10.0,25.0,32.0,0.053518535292199076,0.05
0,9.0,10.0,26.0,30.0,0.0525663289543893,0.05
0,9.0,10.0,27.0,30.0,0.04948504077489053,0.05
0,9.0,10.0,28.0,30.0,0.0504797060209083,0.05
0,9.0,10.0,29.0,29.0,0.051626799805355325,0.05
0,1.0,10.0,2.0,60.0,0.17901295556288538,0.05
0,9.0,10.0,3.0,55.0,0.14197918821468386,0.05
0,9.0,10.0,4.0,58.0,0.12651601239725105,0.05
0,9.0,10.0,5.0,48.0,0.11643613088894537,0.05
0,9.0,10.0,6.0,45.0,0.11039192220603991,0.05
0,9.0,10.0,7.0,43.0,0.09062398938033042,0.05
0,9.0,10.0,8.0,39.0,0.08218963656937524,0.05
0,9.0,10.0,9.0,41.0,0.07652624696481426,0.05
0,9.0,10.0,10.0,39.0,0.07327855480711258,0.05
0,9.0,10.0,11.0,38.0,0.07324690228193806,0.05
0,9.0,10.0,12.0,35.0,0.06617372616563981,0.05
0,9.0,10.0,13.0,35.0,0.06550098286392446,0.05
0,9.0,10.0,14.0,35.0,0.06305674649191399,0.05
0,9.0,10.0,15.0,35.0,0.062231033772500104,0.05
0,9.0,10.0,16.0,34.0,0.06276873619704677,0.05
0,9.0,10.0,17.0,32.0,0.059564364478456804,0.05
0,9.0,10.0,18.0,32.0,0.06207188102987204,0.05
0,9.0,10.0,19.0,32.0,0.059137081214853934,0.05
0,9.0,10.0,20.0,31.0,0.05902793804650303,0.05
0,9.0,10.0,21.0,32.0,0.060822306566853175,0.05
0,9.0,10.0,22.0,30.0,0.056239048693777535,0.05
0,9.0,10.0,23.0,32.0,0.058653445836887794,0.05
0,9.0,10.0,24.0,32.0,0.06037432453429291,0.05
0,9.0,10.0,25.0,31.0,0.0612991650740669,0.05
0,9.0,10.0,26.0,30.0,0.05672921588522463,0.05
0,9.0,10.0,27.0,30.0,0.05503288254092163,0.05
0,9.0,10.0,28.0,29.0,0.053796347624028754,0.05
0,2.0,10.0,2.0,73.0,0.1902611505328623,0.05
0,9.0,10.0,3.0,52.0,0.15522254770974703,0.05
0,9.0,10.0,4.0,50.0,0.13841657991212228,0.05
0,9.0,10.0,5.0,48.0,0.11431057003087582,0.05
0,9.0,10.0,6.0,46.0,0.10230694973837103,0.05
0,9.0,10.0,7.0,47.0,0.09469087728200302,0.05
0,9.0,10.0,8.0,42.0,0.08705997204253574,0.05
0,9.0,10.0,9.0,42.0,0.09168774875770454,0.05
0,9.0,10.0,10.0,39.0,0.09468431585745987,0.05
0,9.0,10.0,11.0,36.0,0.08842709640600203,0.05
0,9.0,10.0,12.0,34.0,0.08182225230771573,0.05
0,9.0,10.0,13.0,34.0,0.08423132073051662,0.05
0,9.0,10.0,14.0,35.0,0.0798349782189726,0.05
0,9.0,10.0,15.0,35.0,0.07497476672561666,0.05
0,9.0,10.0,16.0,33.0,0.06766975996403751,0.05
0,9.0,10.0,17.0,32.0,0.06858678568684956,0.05
0,9.0,10.0,18.0,32.0,0.06720793876035656,0.05
0,9.0,10.0,19.0,32.0,0.06190219532625826,0.05
0,9.0,10.0,20.0,31.0,0.055331886914910436,0.05
0,9.0,10.0,21.0,30.0,0.05381317133464301,0.05
0,9.0,10.0,22.0,30.0,0.05166548321158457,0.05
0,9.0,10.0,23.0,30.0,0.049935626928225674,0.05
0,9.0,10.0,24.0,30.0,0.049591471354586365,0.05
0,9.0,10.0,25.0,30.0,0.049593946687872016,0.05
0,9.0,10.0,26.0,29.0,0.04949768657656833,0.05
0,9.0,10.0,27.0,29.0,0.04997279906916005,0.05
0,9.0,10.0,28.0,28.0,0.04646511449534293,0.05
0,3.0,10.0,2.0,66.0,0.19584552926003035,0.05
0,9.0,10.0,3.0,56.0,0.14845019636947285,0.05
0,9.0,10.0,4.0,49.0,0.12518803697079914,0.05
0,9.0,10.0,5.0,46.0,0.11680637892366454,0.05
0,9.0,10.0,6.0,46.0,0.11453127221013301,0.05
0,9.0,10.0,7.0,43.0,0.09456423297556815,0.05
0,9.0,10.0,8.0,42.0,0.09651035670533267,0.05
0,9.0,10.0,9.0,39.0,0.0997241427273894,0.05
0,9.0,10.0,10.0,38.0,0.08878318739624894,0.05
0,9.0,10.0,11.0,41.0,0.08548412514176143,0.05
0,9.0,10.0,12.0,38.0,0.07857629559041687,0.05
0,9.0,10.0,13.0,36.0,0.06980125542717534,0.05
0,9.0,10.0,14.0,37.0,0.0701814104989982,0.05
0,9.0,10.0,15.0,35.0,0.06565525633668061,0.05
0,9.0,10.0,16.0,34.0,0.061469879866499925,0.05
0,9.0,10.0,17.0,34.0,0.05961746166104797,0.05
